"","Site","Meter","Unit","Date","Time","Value"
"255","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-03,"00:30",189.36
"256","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-04,"00:30",192.14
"257","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-05,"00:30",183.36
"258","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-06,"00:30",165.8
"259","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-07,"00:30",165.8
"260","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-08,"00:30",171.8
"261","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-09,"00:30",174.58
"262","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-10,"00:30",180.58
"263","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-11,"00:30",165.8
"264","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-12,"00:30",174.58
"265","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-13,"00:30",165.8
"266","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-14,"00:30",159.8
"267","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-15,"00:30",183.36
"268","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-16,"00:30",165.8
"269","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-17,"00:30",183.36
"270","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-18,"00:30",183.36
"271","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-19,"00:30",165.8
"272","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-20,"00:30",165.8
"273","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-21,"00:30",157.02
"274","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-22,"00:30",183.36
"275","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-23,"00:30",174.58
"276","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-24,"00:30",159.8
"277","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-25,"00:30",180.58
"278","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-26,"00:30",171.8
"279","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-27,"00:30",159.8
"280","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-28,"00:30",174.58
"281","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-01,"00:30",0
"282","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-02,"00:30",0
"283","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-03,"00:30",36.064
"284","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-04,"00:30",0
"285","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-05,"00:30",0
"286","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-06,"00:30",0
"287","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-07,"00:30",0
"288","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-08,"00:30",153.272
"289","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-09,"00:30",0
"290","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-10,"00:30",0
"291","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-11,"00:30",0
"292","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-12,"00:30",0
"293","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-13,"00:30",0
"294","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-14,"00:30",24.794
"295","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-15,"00:30",0
"296","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-16,"00:30",31.556
"297","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-17,"00:30",0
"298","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-18,"00:30",0
"299","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-19,"00:30",0
"300","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-20,"00:30",0
"301","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-21,"00:30",0
"302","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-22,"00:30",0
"303","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-23,"00:30",0
"304","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-24,"00:30",0
"305","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-25,"00:30",0
"306","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-26,"00:30",0
"307","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-27,"00:30",0
"308","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-28,"00:30",0
"309","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-01,"00:30",236.04
"310","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-02,"00:30",183.36
"311","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-03,"00:30",225.424
"312","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-04,"00:30",192.14
"313","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-05,"00:30",183.36
"314","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-06,"00:30",165.8
"315","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-07,"00:30",165.8
"316","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-08,"00:30",325.072
"317","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-09,"00:30",174.58
"318","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-10,"00:30",180.58
