"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"510","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1016","Grade 7",45300,57222,"Senior Policy Adviser",2,"Policy"
"511","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1016","Grade 6",55431,69187,"Senior Policy Adviser",1,"Policy"
"512","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1016","EO",21916,32232,"Policy Adviser",1,"Policy"
"513","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1016","HEO",25000,40828,"Policy Adviser",2,"Policy"
"514","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1071","Grade 6",55431,69187,"Senior Economist",1,"Economics"
"515","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1071","HEO",25000,40828,"Statistician",3,"Other"
"516","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1071","SEO",33200,49008,"Analyst",8.08,"Social Research"
"517","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1071","Grade 7",45300,57222,"Senior Analyst",2.62,"Social Research"
"518","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1071","HEO",25000,40828,"Economist",2,"Economics"
"519","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1071","Grade 7",45300,57222,"Analyst",1,"Social Research"
"520","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1071","Grade 7",45300,57222,"Senior Economist",1,"Economics"
"521","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1071","EO",21916,32232,"Policy Adviser",1,"Policy"
"522","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1071","Grade 7",45300,57222,"Economist",1,"Economics"
"523","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1071","SEO",33200,49008,"Statistician",2,"Other"
"524","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","HEO",25000,40828,"Policy Support Officer",1,"Policy"
"525","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","SEO",33200,49008,"Policy Support Officer",1,"Policy"
"526","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1073","EA/AO",15266,24858,"Policy Support Officer",1,"Policy"
"527","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1073","EO",21916,32232,"Policy Support Officer",1,"Policy"
"528","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1073","HEO",25000,40828,"Policy Adviser",10.43,"Policy"
"529","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1073","SEO",33200,49008,"Policy Adviser",6.92,"Policy"
"530","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1073","Grade 7",45300,57222,"Senior Policy Adviser",17.3,"Policy"
"531","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1073","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"532","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1073","EO",21916,32232,"Policy Adviser",4,"Policy"
"533","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1029","Grade 7",45300,57222,"Senior Policy Adviser",4,"Policy"
"534","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1029","SEO",33200,49008,"Policy Adviser",6.51,"Policy"
"535","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1029","HEO",25000,40828,"Policy Adviser",2.67,"Policy"
"536","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1029","Grade 6",55431,69187,"Senior Policy Adviser",2.8,"Policy"
"537","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1029","EO",21916,32232,"Policy Adviser",1,"Policy"
"538","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1030","Grade 6",55431,69187,"Senior Policy Adviser",1.5,"Policy"
"539","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1030","SEO",33200,49008,"Policy Adviser",7.67,"Policy"
"540","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1030","Grade 7",45300,57222,"Senior Policy Adviser",6.01,"Policy"
"541","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1030","Grade 7",45300,57222,"Project Manager",0.75,"Operational Delivery"
"542","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1030","HEO",25000,40828,"Policy Adviser",5,"Policy"
"543","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1030","EO",21916,32232,"PERSONAL ASSISTANT",1,"Policy"
"544","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1006","Grade 6",55431,69187,"Senior Policy Adviser",1,"Programme and Project Management (PPM)"
"545","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1030","EO",21916,32232,"Policy Adviser",2.8,"Policy"
"546","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1006","EA/AO",15266,24858,"Finance Officer",1,"Finance"
"547","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1006","EO",21916,32232,"Finance Officer",2,"Finance"
"548","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1006","SEO",33200,49008,"Programme Support Officer",1,"Programme and Project Management (PPM)"
"549","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1006","Grade 7",45300,57222,"Senior Finance  Manager",1,"Finance"
"550","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1006","HEO",25000,40828,"Finance Officer",1,"Finance"
"551","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1031","Grade 7",45300,57222,"Senior Policy Adviser",5.7,"Policy"
"552","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1031","HEO",25000,40828,"Policy Adviser",7,"Policy"
"553","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1006","Grade 7",45300,57222,"Senior Policy Adviser",2,"Policy"
"554","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1031","SEO",33200,49008,"Policy Adviser",8.17,"Policy"
"555","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1031","HEO",25000,40828,"Finance Officer",1,"Finance"
"556","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1031","Grade 6",55431,69187,"Senior Policy Adviser",2.27,"Policy"
"557","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1031","EO",21916,32232,"Policy Adviser",0.6,"Policy"
"558","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1031","EO",21916,32232,"PERSONAL ASSISTANT",1,"Policy"
"559","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1032","EO",21916,32232,"PERSONAL ASSISTANT",1,"Policy"
"560","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1032","Grade 7",45300,57222,"Senior Policy Adviser",7,"Policy"
"561","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1032","SEO",33200,49008,"Policy Adviser",5.89,"Policy"
"562","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1032","EO",21916,32232,"Policy Adviser",2,"Policy"
"563","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1032","Grade 6",55431,69187,"Senior Policy Adviser",1.67,"Policy"
"564","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1032","HEO",25000,40828,"Policy Adviser",4.45,"Policy"
"565","Department for Education","Department for Education ","Early Years, Extended Schools and Special Needs Group","DFE-1006","EO",21916,32232,"PERSONAL ASSISTANT",1,"Policy"
"566","Department for Education","Department for Education ","People and Change","DFE-1057","EA/AO",15266,24858,"HR Support Officer",1.88,"Human Resources"
"567","Department for Education","Department for Education ","People and Change","DFE-1055","Grade 7",45300,57222,"Senior HR Manager",5.45,"Human Resources"
"568","Department for Education","Department for Education ","People and Change ","DFE-1058","HEO",25000,40828,"Policy Adviser",1,"Policy"
"569","Department for Education","Department for Education ","People and Change ","DFE-1058","Grade 7",45300,57222,"Senior HR Manager",5.93,"Human Resources"
"570","Department for Education","Department for Education ","People and Change","DFE-1057","Grade 7",45300,57222,"Senior HR Manager",2.18,"Human Resources"
"571","Department for Education","Department for Education ","People and Change ","DFE-1058","Grade 6",55431,69187,"Senior HR Manager",7,"Human Resources"
"572","Department for Education","Department for Education ","People and Change ","DFE-1058","HEO",25000,40828,"Generalist",2,"Human Resources"
"573","Department for Education","Department for Education ","People and Change ","DFE-1058","SEO",33200,49008,"HR Officer",2,"Human Resources"
